dist	x	y	h
212.6	8.9655591621995	-35.087312631309	301.58481
213.7	9.8149015083909	-34.2379702851176	301.58065
215.0	9.8149015083909	-32.9639567658305	301.67574
216.1	10.2249040268362	-32.5539542473853	301.67158
217.1	11.0742463730276	-31.7046119011939	301.66742
218.2	11.923588719219	-30.8552695550025	301.66326
219.3	12.6008096132427	-30.1780486600474	301.6591
220.9	14.2994943056256	-29.3287063138559	301.753
222.0	15.148836651817	-28.4793639676645	301.74884
223.6	16.3130845911801	-27.8972399989143	301.74275
224.3	17.1624269373715	-27.8972399989143	301.74017
225.8	19.0305551569909	-26.9631758891046	301.73408
227.3	20.5694977920502	-26.5784402294084	301.72868
228.7	22.0890374854207	-26.1985553065315	301.82327
230.7	24.8065080530941	-26.1985553065315	301.81555
231.5	25.6558503992856	-25.7738841334358	301.8125
232.8	27.0004331246018	-25.7738841334358	301.90731
234.2	28.5144593790174	-25.7738841334358	301.90216
235.6	30.2131440714002	-26.1985553065315	301.89676
236.9	31.911828763783	-26.1985553065315	301.99161
238.3	33.27162639983	-26.5385047160089	301.98621
239.1	34.1209687460214	-26.9631758891046	301.98316
240.5	35.5763246212155	-27.3270148579031	301.97776
241.6	36.3040025588125	-28.0546927945688	301.9736
243.2	38.2204055786133	-29.0128943044692	302.0675
244.8	39.9190902709961	-29.8622366506606	302.0614
245.6	40.4121405370533	-30.1087617836893	301.95832
247.0	41.1830440796912	-31.26511710044	301.95279
248.9	42.8039984758943	-32.4808328961954	301.94568
250.7	43.6533408220857	-34.1795175885782	301.93866
252.6	45.6353070866317	-35.6659922879189	301.93155
254.4	46.733991779387	-36.4900058070198	301.92444
255.3	46.733991779387	-37.3393481532112	301.92117
257.1	49.0326764713973	-39.0633616726846	302.01406
259.0	50.6460797898471	-40.2734141610563	302.00696
260.1	51.4954221360385	-41.1227565072477	302.0028
261.9	53.3875921349972	-42.5418840069324	301.99569
262.7	54.140191828832	-42.9181838529184	301.99264
263.8	55.1111985836178	-43.8891906086355	302.08847
265.2	57.0532120931894	-44.3746939860284	302.08307
266.0	57.9025544393808	-44.7993651591241	302.08002
267.4	59.9401261880994	-45.3087580958381	302.17461
268.1	60.9741269722581	-45.3087580958381	302.17204
268.8	61.8234693184495	-45.3087580958381	302.16947
269.5	62.8574701026082	-45.3087580958381	302.26684
270.9	64.8950418513268	-44.7993651591241	302.26144
271.7	65.8916590958834	-44.3010565359145	302.35837
272.5	67.5701810494065	-43.4617955600843	302.35532
272.9	67.5701810494065	-43.0371243869886	302.35369
273.7	67.9466358684003	-42.8488969765604	302.45062
275.1	68.9345519673079	-41.367022828199	302.44509
276.2	70.1182080879807	-40.1833667084575	302.44093
277.1	70.1182080879807	-38.7127040186897	302.33763
277.9	70.1182080879807	-37.8633616724983	302.33437
278.8	70.1182080879807	-37.0140193263069	302.23107
279.6	70.1182080879807	-36.1646769801155	302.2278
280.5	70.1182080879807	-34.8611711775884	302.22454
281.9	69.2688657417893	-33.5871576583013	302.219
282.8	69.2688657417893	-32.2649277849123	302.21573
283.6	67.9466358684003	-31.6038128491491	302.21269
285.0	67.2358672749251	-30.5376599589363	302.10716
286.1	66.3865249287337	-29.6883176127449	302.103
287.6	65.6195717994124	-28.5378879159689	302.19743
289.0	64.770229453221	-27.2638743966818	302.19189
290.4	63.8384978901595	-25.8662770548835	302.18636
291.5	62.8841294907033	-24.9119086544961	302.1822
292.6	62.2069085948169	-24.2346877586097	302.17804
294.5	61.4246616456658	-22.670193859376	302.27101
295.9	60.5235177222639	-21.3184779733419	302.26548
297.3	59.5917861592025	-19.9208806315437	302.25994
298.4	58.8095392100513	-19.1386336814612	302.25578
300.3	57.9106968138367	-17.3409488899633	302.14874
302.1	56.2120121214539	-16.0669353706762	302.14164
303.9	55.521028989926	-14.6849691048265	302.13461
305.8	54.5628274790943	-12.7685660850257	302.22759
307.9	53.1313611641526	-11.337099770084	302.21927
308.8	53.1313611641526	-10.4877574238926	302.216
311.0	50.9933366440237	-8.34973290376365	302.30768
313.1	49.4667734019458	-6.82316966168582	302.29936
315.0	48.6174310557544	-5.12448496930301	302.29234
317.1	46.7466249130666	-3.25367882661521	302.28402
318.2	45.8972825668752	-2.40433648042381	302.27986
320.4	44.3707193247974	-0.877773238345981	302.27154
322.2	43.521376978606	0.820911454036832	302.26452
324.4	41.6505708359182	2.69171759672463	302.2562
326.6	40.0569121968001	4.28537623491138	302.24788
328.0	39.2075698506087	5.55938975419849	302.24235
329.1	38.1778226532042	6.58913695253432	302.23819
331.0	36.4791379608214	7.86315047182143	302.33108
332.0	35.62979561463	8.71249281801283	302.22689
333.9	33.9311109222472	9.98650633729994	302.21979
335.0	32.9850259218365	10.9325913367793	302.21563
335.8	31.9179652482271	11.466121673584	302.21258
337.4	30.0720056574792	12.3891014698893	302.20648
338.8	28.3733209650964	12.813772642985	302.20108
339.6	27.5239786189049	13.2384438160807	302.19803
341.0	25.6655518691987	13.7030505025759	302.19263
342.4	23.7877221778035	14.1725079258904	302.18723
343.1	22.7537213936448	14.1725079258904	302.08462
344.4	21.055036701262	14.1725079258904	302.07948
345.8	19.1716935709119	14.1725079258904	302.07433
347.2	17.4730088785291	13.7478367527947	302.06893
348.5	15.604880657047	13.7478367527947	302.06378
349.3	14.4388198852539	13.1648063659668	302.06073
350.1	13.7367524374276	12.813772642985	302.05768
351.5	12.0380677450448	12.3891014698893	302.05228
353.1	9.97438982687891	11.357262509875	301.94617
354.2	8.84789997525513	10.2307726582512	301.94201
355.6	8.13713138177991	9.16461976803839	301.93648
356.4	7.2877890355885	8.73994859494269	302.03341
357.9	6.36000788584352	7.34827687311918	302.02787
359.7	4.6613231934607	6.07426335383207	302.02077
361.2	3.66945668123662	4.58646358549595	301.91521
362.6	2.90250355191529	3.43603388871998	301.90968
363.7	2.05316120572388	2.58669154252857	301.80552
365.1	1.12142964266241	1.18909420073032	301.79999
