RPM,,Power [hp]
5621.586263287,,25.1901140684411
5671.95421095666,,25.4752851711027
5751.10384300899,,25.9505703422053
5823.05805396566,,26.2357414448669
5895.01226492232,,26.9011406844106
5966.96647587899,,27.5665399239544
6038.92068683565,,28.4220532319392
6125.26573998365,,29.6577946768061
6182.82910874898,,30.7984790874525
6254.78331970564,,31.5589353612167
6341.12837285364,,32.2243346007605
6434.6688470973,,33.0798479087452
6571.38184791496,,34.2205323193916
6650.53147996729,,34.9809885931559
6736.87653311529,,35.5513307984791
6837.61242845462,,36.1216730038023
6981.52085036795,,36.787072243346
7118.23385118561,,37.5475285171103
7226.16516762061,,38.212927756654
7298.11937857727,,38.5931558935361
7362.87816843827,,39.3536121673004
7449.22322158626,,40.4942965779468
7542.76369582993,,41.5399239543726
7629.10874897792,,42.5855513307985
7737.04006541292,,43.8212927756654
7837.77596075225,,45.2471482889734
7924.12101390025,,46.2927756653992
8032.05233033524,,47.4334600760456
8139.98364677024,,48.3840304182509
8247.91496320523,,49.8098859315589
8319.8691741619,,51.0456273764259
8442.19133278823,,51.9011406844106
8586.09975470155,,52.851711026616
8715.61733442355,,53.7072243346008
8787.57154538021,,54.277566539924
8881.11201962388,,55.5133079847909
9003.43417825021,,56.4638783269962
9168.92886345053,,57.5095057034221
9305.64186426819,,58.4600760456274
9435.15944399019,,59.2205323193916
9579.06786590352,,60.0760456273764
9730.17170891251,,61.0266159695818
9874.08013082584,,62.0722433460076
9989.2068683565,,62.9277566539924
10068.3565004088,,64.0684410646388
10140.3107113655,,64.828897338403
10262.6328699918,,65.7794676806084
10399.3458708095,,66.9201520912548
10528.8634505315,,68.0608365019011
10665.5764513491,,69.2015209125475
10787.8986099755,,70.0570342205323
10924.6116107931,,70.7224334600761
11061.3246116108,,70.9125475285171
11234.0147179068,,70.7224334600761
11385.1185609158,,70.4372623574144
11500.2452984464,,69.9619771863118
11550.6132461161,,69.4866920152091
11629.7628781684,,69.2015209125475
11716.1079313164,,68.8212927756654
11788.0621422731,,68.3460076045627
11881.6026165168,,67.7756653992395
12025.5110384301,,67.3003802281369
12183.8103025348,,66.7300380228137
12363.6958299264,,66.3498098859316
12529.1905151267,,66.06463878327
12687.4897792314,,66.06463878327
12845.7890433361,,66.06463878327
13004.0883074407,,66.1596958174905
13119.2150449714,,65.9695817490494
13219.9509403107,,65.5893536121673
13356.6639411284,,65.2091254752852
13471.790678659,,64.9239543726236
13579.721995094,,64.3536121673004
13738.0212591987,,63.7832699619772
13831.5617334424,,63.0228136882129
13889.1251022077,,62.1673003802281
13982.6655764513,,61.5969581749049
14097.792313982,,60.8365019011407
14184.13736713,,59.9809885931559
14241.7007358953,,59.2205323193916
14292.068683565,,57.8897338403042
14320.8503679477,,56.7490494296578
14335.241210139,,55.5133079847909
14356.827473426,,53.5171102661597
14364.0228945217,,51.8060836501901
14392.8045789043,,49.7148288973384
14400,,48.0988593155894
14407.1954210957,,46.6730038022814
14407.1954210957,,44.6768060836502
14407.1954210957,,42.7756653992395
14400,,40.7794676806084
14400,,38.5931558935361
14400,,37.4524714828897
