RPM,,Torque [ft-lb]
5614.39084219133,,22.7629911280101
5643.172526574,,23.0164765525982
5715.12673753066,,23.2192648922687
5808.66721177433,,23.3713561470215
5873.42600163532,,23.7262357414449
5945.38021259199,,24.1318124207858
6024.52984464432,,24.638783269962
6118.07031888798,,25.297845373891
6175.63368765331,,25.9062103929024
6247.58789860998,,26.2103929024081
6355.51921504497,,26.6666666666667
6499.4276369583,,27.1736375158428
6628.9452166803,,27.4778200253485
6744.07195421096,,27.6299112801014
6866.39411283729,,27.680608365019
6981.52085036795,,27.7820025348542
7111.03843008994,,27.8326996197719
7247.7514309076,,27.9847908745247
7312.5102207686,,28.0354879594423
7384.46443172527,,28.2382762991128
7463.6140637776,,28.6438529784537
7600.32706459526,,29.2522179974651
7701.06295993459,,29.7084917617237
7801.79885527392,,30.2154626108999
7880.94848732625,,30.6210392902408
7988.87980376124,,31.0266159695817
8125.5928045789,,31.4828897338403
8240.71954210957,,31.9391634980989
8341.4554374489,,32.446134347275
8427.80049059689,,32.3954372623574
8535.73180703189,,32.446134347275
8636.46770237122,,32.4968314321927
8758.78986099755,,32.6489226869455
8837.93949304988,,32.7503168567807
8945.87080948487,,32.9024081115336
9075.38838920687,,33.0544993662864
9204.90596892886,,33.1558935361217
9327.22812755519,,33.2572877059569
9442.35486508585,,33.2065906210393
9579.06786590352,,33.2572877059569
9715.78086672118,,33.2065906210393
9852.49386753884,,33.2572877059569
9974.81602616517,,33.3586818757921
10075.5519215045,,33.5614702154626
10190.6786590352,,33.7642585551331
10305.8053965658,,33.9163498098859
10442.5183973835,,34.1191381495564
10579.2313982011,,34.3219264892269
10708.7489779231,,34.3726235741445
10852.6573998365,,34.2205323193916
10989.3704006541,,34.1191381495564
11104.4971381848,,33.9163498098859
11133.2788225675,,33.510773130545
11198.0376124285,,33.2065906210393
11291.5780866721,,32.9024081115336
11406.7048242028,,32.4968314321927
11485.8544562551,,32.1926489226869
11543.4178250204,,31.787072243346
11608.1766148814,,31.4321926489227
11694.5216680294,,31.0773130544994
11773.6713000818,,30.6717363751584
11852.8209321341,,30.1647655259823
11939.1659852821,,29.8098859315589
12047.0973017171,,29.5564005069709
12126.2469337694,,29.2015209125475
12205.3965658218,,28.7959442332066
12298.9370400654,,28.4410646387833
12406.8683565004,,28.1875792141952
12507.6042518397,,27.9340937896071
12601.1447260834,,27.7313054499366
12723.4668847097,,27.4271229404309
12809.8119378577,,27.1736375158428
12903.3524121014,,26.9708491761724
13018.4791496321,,26.7680608365019
13140.8013082584,,26.4638783269962
13227.1463614064,,26.1089987325729
13335.0776778414,,25.8555133079848
13450.204415372,,25.5513307984791
13529.3540474244,,25.297845373891
13572.5265739984,,24.9936628643853
13651.6762060507,,24.7401774397972
13738.0212591987,,24.5373891001267
13817.170891251,,24.1318124207858
13881.929681112,,23.6248415716096
13982.6655764513,,23.1685678073511
14097.792313982,,22.8643852978454
14191.3327882257,,22.3067173637516
14270.482420278,,21.6983523447402
14328.0457890433,,20.8871989860583
14349.6320523303,,20.0760456273764
14356.827473426,,19.2141951837769
14385.6091578087,,18.4030418250951
14407.1954210957,,17.5918884664132
14407.1954210957,,16.8314321926489
14407.1954210957,,16.0709759188847
14407.1954210957,,15.1077313054499
14407.1954210957,,14.1951837769328
