RPM,Torque [ft-lb],Power [hp]
5621.586263287,22.832067847743573,25.1901140684411
5622.4649120676595,22.84039235856389,25.194841407428765
5623.343560848318,22.848678683944392,25.199569198199807
5624.222209628977,22.856922668410775,25.20429789253762
5625.100858409636,22.865120156488686,25.209027942225582
5625.979507190295,22.873266992703805,25.213759799047068
5626.858155970954,22.881359021581787,25.218493914785462
5627.736804751613,22.889392087648314,25.223230741224157
5628.615453532272,22.897362035429055,25.227970730146524
5629.49410231293,22.90526470944966,25.232714333335945
5630.37275109359,22.913095954235825,25.237462002575818
5631.251399874249,22.9208516143132,25.242214189649506
5632.130048654907,22.928527534207454,25.246971346340395
5633.008697435566,22.936119558444265,25.251733924431875
5633.8873462162255,22.943623531549296,25.256502375707328
5634.765994996885,22.951035298048218,25.26127715195013
5635.644643777543,22.958350702466685,25.26605870494366
5636.523292558202,22.965565589330392,25.270847486471315
5637.401941338861,22.97267580316499,25.275643948316468
5638.28059011952,22.979677188496147,25.280448542262494
5639.159238900179,22.986565589849537,25.285261720092787
5640.037887680838,22.993336851750833,25.29008393359073
5640.916536461496,22.999986818725688,25.29491563453969
5641.795185242156,23.00651133529979,25.299757274723067
5642.673834022815,23.012906245998792,25.304609305924235
5643.552482803474,23.01916747302976,25.30947217992658
5644.431131584132,23.025293451353694,25.314346348513475
5645.309780364792,23.031285613720108,25.31923226346831
5646.188429145451,23.03714556851506,25.32413037657447
5647.067077926109,23.042874924124604,25.329041139615327
5647.945726706768,23.048475288934814,25.33396500437428
5648.8243754874275,23.053948271331752,25.338902422634696
5649.703024268087,23.059295479701476,25.343853846179965
5650.581673048745,23.06451852243004,25.348819726793458
5651.460321829404,23.06961900790352,25.35380051625857
5652.338970610063,23.07459854450797,25.35879666635868
5653.217619390722,23.079458740629455,25.36380862887716
5654.096268171381,23.084201204654036,25.36883685559741
5654.97491695204,23.088827544967778,25.373881798302804
5655.853565732698,23.093339369956734,25.37894390877672
5656.732214513358,23.097738288006976,25.384023638802546
5657.610863294017,23.102025907504572,25.389121440163667
5658.489512074676,23.10620383683557,25.394237764643457
5659.368160855334,23.11027368438603,25.399373064025298
5660.2468096359935,23.114237058542027,25.404527790092583
5661.125458416653,23.11809556768962,25.409702394628685
5662.004107197311,23.12185082021486,25.41489732941698
5662.88275597797,23.125504424503823,25.420113046240868
5663.761404758629,23.129057988942566,25.425349996883725
5664.640053539289,23.13251312191715,25.430608633128926
5665.518702319947,23.135871431813637,25.435889406759856
5666.397351100606,23.13913452701809,25.441192769559898
5667.275999881265,23.142304015916572,25.446519173312442
5668.154648661924,23.14538150689514,25.451869069800857
5669.033297442583,23.14836860833987,25.45724291080853
5669.911946223242,23.15126692863681,25.462641148118855
5670.7905950039,23.15407807617202,25.468064233515197
5671.6692437845595,23.15680365933158,25.473512618780944
5672.547892565219,23.159445286501533,25.47898668077914
5673.426541345878,23.162004566067957,25.48448595329476
5674.305190126536,23.164483106416892,25.490009439139712
5675.183838907195,23.166882515934425,25.49555613284032
5676.062487687855,23.169204403006603,25.5011250289229
5676.941136468513,23.171450376019497,25.50671512191375
5677.819785249172,23.17362204335916,25.51232540633921
5678.698434029831,23.17572101341166,25.517954876725586
5679.57708281049,23.177748894563056,25.52360252759919
5680.455731591149,23.179707295199417,25.52926735348635
5681.334380371808,23.181597823706795,25.534948348913375
5682.213029152467,23.183422088471257,25.540644508406583
5683.0916779331255,23.185181697878868,25.546354826492284
5683.970326713785,23.186878260315687,25.552078297696802
5684.848975494444,23.188513384167774,25.557813916546454
5685.727624275102,23.190088677821194,25.56356067756755
5686.606273055761,23.19160574966201,25.569317575286412
5687.484921836421,23.19306620807628,25.575083604229352
5688.36357061708,23.194471661450073,25.580857758922697
5689.242219397738,23.195823718169446,25.586639033892745
5690.120868178397,23.19712398662046,25.59242642366583
5690.999516959057,23.19837407518918,25.59821892276826
5691.878165739715,23.199575592261667,25.604015525726346
5692.756814520374,23.200730146223982,25.60981522706642
5693.635463301033,23.201839345462194,25.615617021314787
5694.514112081692,23.20290479836235,25.621419902997758
5695.392760862351,23.20392811331053,25.627222866641663
5696.27140964301,23.204910898692788,25.633024906772814
5697.150058423669,23.205854762895182,25.638825017917522
