radius_of_curvature_m,x,y
-27.420179,-12.946016,-17.121222
-27.756816,-13.003581,-17.202779
-30.752786,-13.061457,-17.284164
-34.004164,-13.119632,-17.365407
-38.803221,-13.178090,-17.446543
-44.717665,-13.236818,-17.527611
-52.813783,-13.295780,-17.608619
-69.141501,-13.354924,-17.689557
-99.812507,-13.414214,-17.770448
-200.018224,-13.473603,-17.851307
13157.317794,-13.533060,-17.932172
245.799676,-13.592547,-18.013077
152.265010,-13.652040,-18.094055
119.180459,-13.711479,-18.175069
110.839210,-13.770850,-18.256131
117.377952,-13.830173,-18.337278
145.579411,-13.889479,-18.418544
210.397858,-13.948787,-18.499931
738.511880,-14.008056,-18.581340
-333.851622,-14.067329,-18.662778
-144.225026,-14.126680,-18.744270
-91.064335,-14.186156,-18.825815
-73.934847,-14.245782,-18.907380
-56.575771,-14.305518,-18.988856
-46.667981,-14.365409,-19.070240
-39.661859,-14.425500,-19.151527
-34.219205,-14.485828,-19.232699
-31.225312,-14.546423,-19.313733
-28.985490,-14.607273,-19.394560
-27.928516,-14.668399,-19.475171
-27.660285,-14.729806,-19.555549
-28.168786,-14.791486,-19.635679
-29.549986,-14.853422,-19.715548
-32.437813,-14.915610,-19.795183
-36.737752,-14.978025,-19.874598
-44.605258,-15.040610,-19.953785
-58.316968,-15.103298,-20.032736
-111.691275,-15.166011,-20.111447
-789.651411,-15.228760,-20.190054
162.180250,-15.291469,-20.268593
72.412171,-15.354040,-20.347057
48.207562,-15.416373,-20.425443
32.790752,-15.478375,-20.503754
26.613000,-15.540096,-20.582192
22.459793,-15.601455,-20.660773
19.850818,-15.662359,-20.739486
18.303772,-15.722731,-20.818320
17.023363,-15.782530,-20.897287
16.614306,-15.841847,-20.976566
16.447380,-15.900648,-21.056136
16.660520,-15.958911,-21.135974
17.113965,-16.016626,-21.216052
18.382185,-16.073820,-21.296373
20.140903,-16.130583,-21.376998
23.036943,-16.186947,-21.457891
27.857645,-16.242958,-21.539011
36.049482,-16.298675,-21.620318
49.835606,-16.354186,-21.701802
85.234537,-16.409547,-21.783411
294.740962,-16.464833,-21.865112
-200.213232,-16.520123,-21.946878
-74.042219,-16.575497,-22.028682
-46.277962,-16.631039,-22.110498
-33.019730,-16.686781,-22.192232
-26.366023,-16.742804,-22.273853
-22.990058,-16.799194,-22.355358
-20.607763,-16.855997,-22.436709
-18.678036,-16.913277,-22.517905
-17.547441,-16.971029,-22.598858
-16.905943,-17.029298,-22.679568
-16.847908,-17.088119,-22.760043
-16.877818,-17.147478,-22.840255
-16.690489,-17.207408,-22.920241
-17.274775,-17.267874,-22.999952
-18.057022,-17.328897,-23.079437
-19.169718,-17.390444,-23.158692
-20.340364,-17.452476,-23.237712
-21.832417,-17.514974,-23.316521
-24.506017,-17.577899,-23.395127
-28.235026,-17.641234,-23.473583
-34.188770,-17.704908,-23.551887
-41.735419,-17.768862,-23.630061
-53.425320,-17.833042,-23.708124
-71.236238,-17.897412,-23.786115
-100.506520,-17.961944,-23.864075
-156.990096,-18.026577,-23.941997
-305.099546,-18.091267,-24.019882
-1328.864254,-18.155996,-24.097762
789.210907,-18.220744,-24.175651
359.881978,-18.285494,-24.253560
270.823872,-18.350209,-24.331472
235.630486,-18.414890,-24.409400
219.493150,-18.479531,-24.487347
217.551418,-18.544118,-24.565302
229.029199,-18.608636,-24.643247
270.087868,-18.673083,-24.721174
328.058392,-18.737486,-24.799108
482.938102,-18.801828,-24.877017
738.192896,-18.866093,-24.954866
1198.164210,-18.930259,-25.032617
1603.706664,-18.994348,-25.110288
1384.535104,-19.058409,-25.187937
953.411078,-19.122413,-25.265529
610.432461,-19.186330,-25.343033
407.991820,-19.250125,-25.420414
265.615711,-19.313804,-25.497696
191.399511,-19.377418,-25.574958
144.460378,-19.440937,-25.652187
111.431670,-19.504312,-25.729351
90.339093,-19.567492,-25.806419
69.664669,-19.630455,-25.883398
59.473781,-19.693261,-25.960406
52.822029,-19.755882,-26.037449
47.555094,-19.818270,-26.114500
44.706990,-19.880379,-26.191533
39.666448,-19.942188,-26.268545
38.500225,-20.003789,-26.345685
37.584061,-20.065155,-26.422935
37.640680,-20.126265,-26.500278
38.173627,-20.187108,-26.577698
39.757947,-20.247708,-26.655217
42.929286,-20.308114,-26.732881
47.884625,-20.368341,-26.810682
55.911160,-20.428415,-26.888612
70.519801,-20.488368,-26.966669
97.223341,-20.548243,-27.044849
186.783057,-20.608061,-27.123115
12917.184263,-20.667884,-27.201472
-221.801628,-20.727779,-27.279927
-114.035687,-20.787783,-27.358454
-78.475547,-20.847936,-27.437035
-59.887938,-20.908251,-27.515621
-47.622554,-20.968788,-27.594227
-43.897808,-21.029630,-27.672894
-38.061257,-21.090743,-27.751538
-33.979602,-21.152200,-27.830200
-31.371996,-21.213994,-27.908817
-29.726880,-21.276176,-27.987413
-30.299302,-21.338799,-28.066026
-29.900806,-21.401789,-28.144559
-28.933957,-21.465206,-28.223079
-30.000253,-21.529000,-28.301510
-31.232194,-21.593219,-28.379924
-34.487568,-21.657899,-28.458382
-36.967758,-21.722887,-28.536740
-40.922303,-21.788189,-28.615036
-47.721658,-21.853789,-28.693297
-58.382134,-21.919697,-28.771584
-74.844411,-21.985910,-28.849953
-106.270451,-22.052311,-28.928327
-206.292792,-22.118803,-29.006657
15082.384798,-22.185350,-29.084973
196.413536,-22.251905,-29.163301
101.748238,-22.318416,-29.241659
73.158093,-22.384859,-29.320094
57.741390,-22.451178,-29.398606
48.379338,-22.517301,-29.477169
41.826294,-22.583166,-29.555761
38.389245,-22.648704,-29.634352
35.375639,-22.713961,-29.713030
32.148509,-22.778876,-29.791759
30.288988,-22.843439,-29.870567
28.624120,-22.907590,-29.949410
28.647609,-22.971269,-30.028238
27.161065,-23.034535,-30.107128
26.849855,-23.097304,-30.185992
24.192045,-23.159493,-30.264742
23.768717,-23.221200,-30.343540
24.639503,-23.282333,-30.422280
23.804913,-23.342988,-30.501066
24.139576,-23.403076,-30.579789
22.118990,-23.462519,-30.658341
21.776521,-23.521427,-30.736902
22.210721,-23.579776,-30.815446
22.399788,-23.637601,-30.894008
22.569591,-23.694925,-30.972601
21.312036,-23.751722,-31.051189
22.013966,-23.808110,-31.129951
22.284822,-23.864059,-31.208834
23.357583,-23.919553,-31.287793
23.665503,-23.974614,-31.366833
25.037748,-24.029337,-31.446070
26.888432,-24.083759,-31.525519
29.412242,-24.137906,-31.605178
32.748367,-24.191818,-31.685051
35.472103,-24.245552,-31.765171
40.337276,-24.299098,-31.845480
46.752981,-24.352494,-31.925981
55.773278,-24.405799,-32.006705
68.339091,-24.459067,-32.087680
92.805695,-24.512360,-32.168942
106.477376,-24.565741,-32.250533
189.659739,-24.619097,-32.332239
441.547191,-24.672497,-32.414110
-1450.095964,-24.726009,-32.496191
-291.504177,-24.779707,-32.578544
-189.672168,-24.833659,-32.661231
