x,y
-19.540059,-25.807344
-19.603077,-25.885198
-19.666174,-25.963035
-19.729351,-26.040875
-19.792605,-26.118726
-19.855887,-26.196551
-19.919201,-26.274365
-19.982560,-26.352198
-20.045968,-26.430069
-20.109427,-26.507988
-20.172877,-26.585895
-20.236326,-26.663809
-20.299796,-26.741762
-20.363289,-26.819761
-20.426806,-26.897810
-20.490313,-26.975871
-20.553798,-27.053931
-20.617273,-27.132008
-20.680734,-27.210101
-20.744175,-27.288206
-20.807589,-27.366321
-20.870973,-27.444445
-20.934323,-27.522582
-20.997630,-27.600725
-21.060882,-27.678866
-21.124065,-27.756996
-21.187177,-27.835119
-21.250231,-27.913263
-21.313216,-27.991424
-21.376113,-28.069588
-21.438901,-28.147740
-21.501566,-28.225872
-21.564094,-28.303979
-21.626525,-28.382133
-21.688832,-28.460314
-21.750994,-28.538501
-21.812991,-28.616681
-21.874807,-28.694840
-21.936489,-28.773056
-21.998033,-28.851337
-22.059427,-28.929668
-22.120657,-29.008036
-22.181711,-29.086426
-22.242633,-29.164908
-22.303418,-29.243473
-22.364065,-29.322114
-22.424576,-29.400825
-22.484963,-29.479620
-22.545238,-29.558502
-22.605413,-29.637474
-22.665507,-29.716540
-22.725543,-29.795710
-22.785510,-29.874955
-22.845420,-29.954268
-22.905289,-30.033656
-22.965130,-30.113122
-23.024956,-30.192671
-23.084745,-30.272262
-23.144505,-30.351901
-23.204243,-30.431591
-23.263961,-30.511332
-23.323657,-30.591123
-23.383323,-30.670956
-23.442954,-30.750833
-23.502543,-30.830751
-23.562085,-30.910718
-23.621575,-30.990740
-23.680999,-31.070821
-23.740336,-31.150950
-23.799568,-31.231131
-23.858690,-31.311375
-23.917695,-31.391694
-23.976566,-31.472084
-24.035281,-31.552537
-24.093822,-31.633043
-24.152204,-31.713633
-24.210417,-31.794310
-24.268444,-31.875065
-24.326260,-31.955880
-24.383847,-32.036741
-24.441239,-32.117699
-24.498423,-32.198754
-24.555373,-32.279881
-24.612065,-32.361054
-24.668489,-32.442270
-24.724705,-32.523607
-24.780693,-32.605041
-24.836435,-32.686546
-24.891928,-32.768119
-24.947169,-32.849759
-25.002183,-32.931489
-25.056990,-33.013327
-25.111597,-33.095277
-25.166005,-33.177333
-25.220219,-33.259491
-25.274247,-33.341747
-25.328106,-33.424111
-25.381809,-33.506587
-25.435366,-33.589177
-25.488785,-33.671882
-25.542076,-33.754702
-25.595251,-33.837644
-25.648300,-33.920685
-25.701233,-34.003827
-25.754062,-34.087079
-25.806805,-34.170454
-25.859476,-34.253964
-25.912094,-34.337626
-25.964611,-34.421367
-26.017050,-34.505204
-26.069430,-34.589158
-26.121774,-34.673251
-26.174100,-34.757497
-26.226365,-34.841819
-26.278577,-34.926213
-26.330756,-35.010693
-26.382922,-35.095274
-26.435089,-35.179958
-26.487223,-35.264677
-26.539343,-35.349440
-26.591465,-35.434256
-26.643604,-35.519130
-26.695745,-35.604022
-26.747893,-35.688926
-26.800052,-35.773845
-26.852220,-35.858774
-26.904391,-35.943709
-26.956557,-36.028649
-27.008714,-36.113598
-27.060850,-36.198554
-27.112958,-36.283528
-27.165027,-36.368526
-27.217043,-36.453554
-27.268988,-36.538616
-27.320849,-36.623725
-27.372611,-36.708895
-27.424249,-36.794132
-27.475743,-36.879442
-27.527076,-36.964836
-27.578236,-37.050332
-27.629202,-37.135928
-27.679956,-37.221626
-27.730485,-37.307435
-27.780787,-37.393370
-27.830847,-37.479434
-27.880658,-37.565630
-27.930212,-37.651962
-27.979503,-37.738433
-28.028527,-37.825047
-28.077284,-37.911808
-28.125772,-37.998720
-28.173986,-38.085777
-28.221922,-38.172978
-28.269581,-38.260325
-28.316964,-38.347822
-28.364067,-38.435473
-28.410879,-38.523259
-28.457397,-38.611181
-28.503622,-38.699247
-28.549545,-38.787466
-28.595140,-38.875805
-28.640394,-38.964255
-28.685302,-39.052848
-28.729839,-39.141575
-28.773975,-39.230409
-28.817696,-39.319358
-28.860989,-39.408465
-28.903832,-39.497714
-28.946206,-39.587103
-28.988100,-39.676655
-29.029503,-39.766378
-29.070409,-39.856287
-29.110811,-39.946370
-29.150709,-40.036644
-29.190110,-40.127138
-29.229018,-40.217832
-29.267439,-40.308723
-29.305380,-40.399833
-29.342846,-40.491174
-29.379831,-40.582689
-29.416337,-40.674392
-29.452364,-40.766293
-29.487909,-40.858379
-29.522965,-40.950634
-29.557530,-41.043060
-29.591596,-41.135655
-29.625153,-41.228413
-29.658189,-41.321330
-29.690689,-41.414399
-29.722635,-41.507605
-29.754009,-41.600976
-29.784792,-41.694504
-29.814963,-41.788181
-29.844498,-41.882009
-29.873374,-41.976015
-29.901566,-42.070192
-29.929047,-42.164534
-29.955792,-42.259064
-29.981772,-42.353786
-30.006962,-42.448695
-30.031340,-42.543795
-30.054884,-42.639097
-30.077575,-42.734596
-30.099396,-42.830282
-30.120337,-42.926163
-30.140392,-43.022227
-30.159558,-43.118461
-30.177835,-43.214862
-30.195231,-43.311423
-30.211756,-43.408125
-30.227425,-43.504957
-30.242255,-43.601919
-30.256272,-43.698990
-30.269498,-43.796152
-30.281957,-43.893419
-30.293675,-43.990775
-30.304675,-44.088202
-30.314967,-44.185723
-30.324563,-44.283329
-30.333472,-44.381012
-30.341692,-44.478780
-30.349219,-44.576630
-30.356044,-44.674564
-30.362155,-44.772571
-30.367533,-44.870657
-30.372156,-44.968833
-30.376007,-45.067065
-30.379067,-45.165359
-30.381318,-45.263730
-30.382758,-45.362148
-30.383374,-45.460597
-30.383157,-45.559090
-30.382112,-45.657618
-30.380243,-45.756164
-30.377542,-45.854716
-30.374015,-45.953289
-30.369687,-46.051863
-30.364559,-46.150418
-30.358640,-46.248961
-30.351951,-46.347491
-30.344510,-46.445987
-30.336314,-46.544415
-30.327369,-46.642781
-30.317685,-46.741059
-30.307257,-46.839224
-30.296079,-46.937265
-30.284139,-47.035161
-30.271430,-47.132907
-30.257933,-47.230479
-30.243622,-47.327843
-30.228478,-47.425009
-30.212477,-47.521970
-30.195594,-47.618690
-30.177810,-47.715150
-30.159119,-47.811399
-30.139508,-47.907416
-30.118972,-48.003185
-30.097508,-48.098709
-30.075120,-48.194004
-30.051812,-48.289067
-30.027593,-48.383897
-30.002478,-48.478491
-29.976478,-48.572865
-29.949616,-48.667031
-29.921918,-48.761000
-29.893412,-48.854752
-29.864118,-48.948314
-29.834064,-49.041700
-29.803272,-49.134913
-29.771759,-49.227932
-29.739537,-49.320776
-29.706614,-49.413457
-29.672997,-49.505960
-29.638699,-49.598267
-29.603719,-49.690385
-29.568050,-49.782316
-29.531684,-49.874048
-29.494642,-49.965540
-29.456905,-50.056801
-29.418448,-50.147830
-29.379257,-50.238620
-29.339363,-50.329116
-29.298748,-50.419315
-29.257393,-50.509220
-29.215279,-50.598838
-29.172439,-50.688120
-29.128861,-50.777053
-29.084529,-50.865644
-29.039428,-50.953899
-28.993553,-51.041783
-28.946899,-51.129297
-28.899461,-51.216445
-28.851243,-51.303191
-28.802256,-51.389532
-28.752490,-51.475486
-28.701971,-51.561032
-28.650728,-51.646158
-28.598792,-51.730851
-28.546168,-51.815135
-28.492870,-51.899015
-28.438938,-51.982469
-28.384399,-52.065515
-28.329275,-52.148147
-28.273568,-52.230366
-28.217294,-52.312192
-28.160469,-52.393616
-28.103103,-52.474620
-28.045188,-52.555220
-27.986722,-52.635420
-27.927710,-52.715197
-27.868153,-52.794532
-27.808033,-52.873446
-27.747345,-52.951919
-27.686087,-53.029935
-27.624259,-53.107493
-27.561863,-53.184594
-27.498898,-53.261232
-27.435364,-53.337405
-27.371270,-53.413125
-27.306634,-53.488387
-27.241460,-53.563199
-27.175750,-53.637572
-27.109518,-53.711523
-27.042801,-53.785046
-26.975604,-53.858160
-26.907935,-53.930888
-26.839803,-54.003257
-26.771266,-54.075252
-26.702331,-54.146894
-26.633005,-54.218198
-26.563292,-54.289177
-26.493213,-54.359830
-26.422783,-54.430152
-26.352006,-54.500145
-26.280879,-54.569811
-26.209395,-54.639151
-26.137557,-54.708157
-26.065365,-54.776811
-25.992809,-54.845105
-25.919874,-54.913032
-25.846546,-54.980577
-25.772809,-55.047715
-25.698652,-55.114431
-25.624070,-55.180707
-25.549064,-55.246523
-25.473629,-55.311868
-25.397758,-55.376736
-25.321466,-55.441111
-25.244762,-55.505003
-25.167669,-55.568401
-25.090192,-55.631308
-25.012360,-55.693722
-24.934175,-55.755683
-24.855680,-55.817182
-24.776911,-55.878218
-24.697886,-55.938808
-24.618590,-55.999016
-24.539058,-56.058840
-24.459322,-56.118284
-24.379389,-56.177362
-24.299237,-56.236132
-24.218881,-56.294601
-24.138336,-56.352776
-24.057601,-56.410670
-23.976668,-56.468296
-23.895528,-56.525670
-23.814170,-56.582801
-23.732593,-56.639690
-23.650787,-56.696339
